 keyword     , main  
 boundary    , (  
 boundary    , )  
 boundary    , {  
 keyword     , int  
 identifier  , a  
 boundary    , ;  
 keyword     , int  
 identifier  , b  
 boundary    , ;  
 keyword     , int  
 identifier  , c  
 boundary    , ;  
 identifier  , a  
 operator    , =  
 integer     , 10  
 boundary    , ;  
 identifier  , b  
 operator    , =  
 integer     , 5  
 boundary    , ;  
 identifier  , c  
 operator    , =  
 identifier  , a  
 operator    , *  
 identifier  , b  
 boundary    , ;  
 identifier  , a  
 operator    , =  
 identifier  , c  
 operator    , +  
 identifier  , b  
 boundary    , ;  
 keyword     , if  
 boundary    , (  
 identifier  , a  
 operator    , ==  
 integer     , 10  
 boundary    , )  
 boundary    , {  
 identifier  , c  
 operator    , =  
 integer     , 2  
 boundary    , ;  
 boundary    , }  
 keyword     , else  
 boundary    , {  
 identifier  , c  
 operator    , =  
 integer     , 1  
 boundary    , ;  
 boundary    , }  
 keyword     , while  
 boundary    , (  
 identifier  , c  
 operator    , >  
 integer     , 0  
 boundary    , )  
 boundary    , {  
 identifier  , c  
 operator    , =  
 identifier  , c  
 operator    , -  
 integer     , 1  
 boundary    , ;  
 boundary    , }  
 boundary    , }  
